tornado
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:21:04Asteroid will miss Earth Tuesday morning http://t.co/AjOJO1lFcu
	2015-04-21 00:20:19RT @b420b420b420: #HappyLuhanDay My little prince from Asteroid-B420. http://t.co/viGGr9sD3O
	2015-04-21 00:19:21NEW MUSIC: Asteroid - Vote Not Violence feat. Various Artists &gt;&gt; http://t.co/Av0flVEMyd http://t.co/wBWVcZi1Ae
	2015-04-21 00:18:41VIDEO PREMIERE: Asteroid - Vote Not Violence ft. Emy P, Feelingz, UNIK,....-&gt;&gt; http://t.co/RCXhxH8Jid http://t.co/YU857xoL9Z
	2015-04-21 00:18:07RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:17:55RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:15:55RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:15:36RT @b420b420b420: #HappyLuhanDay My little prince from Asteroid-B420. http://t.co/viGGr9sD3O
	2015-04-21 00:13:51Another one bites the dust! Yo got smashed by an asteroid on level 8 in #Blasteroids. http://t.co/gfWzrhYoPL
	2015-04-21 00:13:26New day, new tweets, new stats. 1 follower, 0 unfollowers. Via good old http://t.co/bCytXRpR7l
	2015-04-21 00:13:22"I was painting my nails and an asteroid hit my house."
Wow really?
"No. Just wanted to tell you I did my nails" *jazz hands*
	2015-04-21 00:13:16RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:12:26RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:12:12RT @b420b420b420: #HappyLuhanDay My little prince from Asteroid-B420. http://t.co/viGGr9sD3O
	2015-04-21 00:12:07RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:10:21RT @fuziqudulyj: 16 Mar 2015 - New Desktop Application Has Potential to Increase Asteroid Detection, Now Available to Public
	2015-04-21 00:09:27RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:09:26What is the species of monster in the asteroid belt? #starwarsquestions
	2015-04-21 00:09:20Asteroid flying by Earth at only 0.2 lunar distances Tuesday, April 21. -Marty http://t.co/tqcZdedea9
	2015-04-21 00:07:24RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:07:15RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:06:32Asteroid Seukuran Bus Terdekat Lintasi Bumi: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/xHdVMY1sFR
	2015-04-21 00:06:30[TEKNO] Asteroid Seukuran Bus Terdekat Lintasi Bumi http://t.co/JS22CWCNzG
	2015-04-21 00:06:29RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:06:07RT @THEREALEMODAD: damn are you an asteroid cause you look like you would crash into me and ruin my life
	2015-04-21 00:05:55Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/GqnhS07gmM
	2015-04-21 00:05:51Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/j4XQ4HAmjl
	2015-04-21 00:05:13Pretty sure we just call Bruce Willis: Welcome to Asteroid War Games, Where Scientists Practice Saving Earth http://t.co/ll2IdjnE7D
	2015-04-21 00:04:47I just pre-ordered @gderekadams's book, "Asteroid Made of Dragons", on @inkshares.  Check it out https://t.co/4WpJ9wilhx
	2015-04-21 00:04:40Asteroid passing 1/5 the distance that the moon is to the Earth. Yes, closer than the moon. That's relatively close at 45,600 miles.
	2015-04-21 00:03:45RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
http://t.co/1QzlfPOFVM http://t.co/zJBSqG1Qhs
	2015-04-21 00:03:41RT @Way_Things_Work: Destruction Of Asteroid(Animated) http://t.co/Xb6C8Y4BRx
meteoroid
	2015-04-20 21:05:39And the meteoroid is a stone that's devoid of the fire that propelled it to thee.
massacre
	2015-04-21 00:23:48RT @BackVibes: Anyone remember columbine massacre ? Yeah 19 years ago today , let's respect the ones that passed away that day .
	2015-04-21 00:23:44RT @macklemore: The only 420 I really remember was the Columbine massacre.....and that really ruined everyone's high. Bad day.
	2015-04-21 00:23:39RT @ZJ73406: The Columbine massacre happened 16 years ago today. http://t.co/91yfsRVfQZ
	2015-04-21 00:23:38Have you ever heard of the Ludlow Massacre? Here's your chance. http://t.co/PVjkWXgomI
	2015-04-21 00:23:28Largest Massacre of Christians in Syria Ignored http://t.co/ifnzPqWz8u
	2015-04-21 00:23:25RT @Shamigeneral57: The #US led coalition massacre in #Mosul, has been documented by Islamic state. https://t.co/TXAj8m64wE
	2015-04-21 00:23:16Today is national pot smoking day, Hitler's birthday, Columbine Massacre 16th anniversary, and national dolphin day.
	2015-04-21 00:23:13RT @NYTArchives: Today in 1999: The Columbine High School massacre http://t.co/XfeM3vtwfn http://t.co/C1hRS1XVIz
	2015-04-21 00:23:04That squirrel massacre of a coat https://t.co/YnYWmsxS5Q
	2015-04-21 00:22:42RT @cophisetouchs: The Witch Lyrics Sonics http://t.co/qoCoajtxFB
	2015-04-21 00:22:41RT @MikeSadorf: "Hitler's birthday, the Columbine massacre, and this year, it's a Monday." - Garfield hates 420
	2015-04-21 00:22:28@MarkusKeepa I know. School is almost out so we'll have to get together.
	2015-04-21 00:22:08The Texas Chain Saw Massacre (2-Disc Ultimate Edition), Excellent DVD, Robert Co http://t.co/Z0PxlZEK7X http://t.co/FuK3kAz3Ok
	2015-04-21 00:22:02Massacre conspiracy - parasite
	2015-04-21 00:21:46808 Massacre Vst for sale #DM me #Producers
	2015-04-21 00:20:59What the religious undertones in the latest ISIS Christian massacre video mean http://t.co/vHPpaytgDD
	2015-04-21 00:19:59Never forget. http://t.co/xI6j52Xg2M
	2015-04-21 00:19:34RT @XSTROLOGY: A #Virgo kisses passionately, but still isnt afraid to be silly while doing it.
	2015-04-21 00:19:24Texas Cheesecake Massacre #CookingFilms
	2015-04-21 00:19:20@Bu2Ful_MASSACRE people are just so hatful that's all thanks doe baby she still haven't met you guys yet
	2015-04-21 00:18:57RT @csmonitor: Germany defies Turkey, calls Armenian massacre 'genocide' (+video) http://t.co/YAd459KT3L
	2015-04-21 00:18:51#Italy counts up to 900 #migrants dead and launches rescues of two more boats http://t.co/pIR2H6l5ws #refugees #Lampedusa #Mediterranean
